id,descricao,unidade,quantidade,unitario,total
56,Adap. Conversor DB 09 Femea x DB 25 Macho,PC,0,2.13,0.00
57,Adap. Conversor RJ 45x DB 09 Macho,PC,0,1.74,0.00
58,Adap. Convesor 9DB Macho x DB 25 Macho,PC,0,4.16,0.00
59,Adap. Convesor DB 09 Femea x DB 25 Femea,PC,0,4.16,0.00
60,Adap. Convesor RJ 45  Femea x DB 25 Femea,PC,0,1.83,0.00
61,Adap. Convesor RJ 45DB 09 FEMEA,PC,0,1.74,0.00
62,adap. Modular T RJ 45M 2 saidas RJ45M,PC,0,2.01,0.00
63,Adapt. 2 Pino redondo/2 Chato,PC,0,0.64,0.00
64,Adapt.xyz 3 pinos chato p/2pinos redondo p/ Ar,PC,0,0.84,0.00
65,Adaptador  2 pino redondo p/ Chato15A/250V,PC,0,0.94,0.00
66,ADAPTADOR BAIONETA GRANDE ROSCA 1/4,PC,-4,0.96,-3.84
67,ADAPTADOR BAIONETA PEQUENA ROSCA 1/4,PC,0,1.00,0.00
68,ADAPTADOR M16X25 SENSOR DE NIVEL,PC,0,2.47,0.00
69,ADAPTADOR MANÔMETRO 14BF-12BM 1/4BSP,PC,5,17.04,85.20
70,ADAPTADOR MARGIRIUS ADE 800,PC,0,1.69,0.00
71,ADAPTADOR MARGIRIUS ADL 800,PC,0,1.67,0.00
72,ADAPTADOR MS4/6-A4.ERS  FESTO,PC,0,75.85,0.00
73,Adaptador pino 2 redondo p/ 2 pino chato,PC,0,0.45,0.00
74,ADAPTADOR RJ11 3 FEMEAS+1 MACHO,PC,0,1.40,0.00
75,ADESIVO ALTA TENSÃO/VOLAGEM,PC,0,13.00,0.00
76,AGENDA SUPER 2013,PC,0,17.98,0.00
77,"Alarme 150mm 12VCA, CA0214C",PC,0,104.90,0.00
78,"ALARME 150MM,BAT, EMBUTIDO 220V",PC,0,103.95,0.00
79,"ALARME DE POTENCIA 150mm /24VDC,",PC,0,162.81,0.00
80,"ALARME DE POTENCIA 150MM,127VCA, CA02.3",PC,4,145.06,580.24
81,"ALARME DE POTENCIA 150MM,220VCA, CA02.4",PC,2,145.06,290.12
82,"ALARME DE POTENCIA 225MM,127VCA, CA01.3",PC,1,144.81,144.81
83,Alavanca Curta C/ Roldana Em Aço,PC,0,11.02,0.00
84,ALAVANCA REGULAVEL  ZCKY43,PC,0,32.40,0.00
85,Alicae Amperimetro  Analogico ET 3001,PC,0,97.20,0.00
86,ALICATE  FT58A CLIMPAR RG50/06 HY-5085*,PC,0,23.88,0.00
87,"ALICATE AMP AD-9901T, digítal c/ temperatura",PC,0,45.60,0.00
88,"ALICATE AMP. SK-7300A, ANALOG. ICEL",PC,0,64.80,0.00
89,ALICATE AMPERIMETRO  FLUKE 305 1000A,PC,0,442.80,0.00
90,ALICATE AMPERÍMETRO ET-3006,PC,1,175.63,175.63
91,ALICATE AMPERÍMETRO ET-3100,PC,0,79.68,0.00
92,ALICATE AMPERIMETRO ET-3111,PC,0,133.05,0.00
93,ALICATE AMPERÍMETRO ET-3122A,PC,0,172.58,0.00
94,ALICATE AMPERÍMETRO ET-3200,PC,9,94.45,850.05
95,ALICATE AMPERIMETRO ET-3960,PC,0,503.19,0.00
96,Alicate Amperimetro TY-9901 FAB:TOYO,PC,0,27.90,0.00
97,Alicate de Climpar RG 45/11/12,PC,0,79.36,0.00
98,ALICATE DE CLIMPAR TERM. REF=HT-202A,PC,0,19.71,0.00
99,"Alicate de Corrente CA Ref i200S, fab Fluke",PC,0,752.79,0.00
100,ALICATE DIGITAL AD-9010 TOYO,PC,0,43.20,0.00
101,"Alicate fer. HT-301E Climpar  tub. 0,5-6mm2",PC,0,36.16,0.00
102,Alicate fer. manual HT-301 term isol 0-5-6mm2,PC,0,36.16,0.00
103,"Alicate fer. manual LA-9  0,5-6MM2, TERNINAL N",PC,0,88.56,0.00
104,"Alicate fer. manual LG-25 , 6-25MM2",PC,1,141.60,141.60
105,"Alicate fer. manual LG-8 PINO 0,5-6MM2",PC,4,88.44,353.76
106,"Alicate fer. manual LR-6 , N/ISOL FASTON",PC,0,109.80,0.00
107,"Alicate fer. manual LY-7 0,5-6mm2",PC,7,87.96,615.72
108,ALICATE FER. RS-596 P/ COAXIAL,PC,0,92.52,0.00
109,Alicate fer.COMPRESSAO PRESSAO RL-120,PC,0,474.96,0.00
110,Alicate fer.COMPRESSAO PRESSAO RL-70,PC,0,359.40,0.00
111,Alicate ferramenta  Cabo Tel. Conector RJ 10,PC,0,24.75,0.00
112,Alicate ferramenta  pressão 22 -10AWG Stanley,PC,0,15.00,0.00
113,Alicate ferramenta Compressão manual BurndY,PC,0,106.80,0.00
114,Alicate ferramenta de bico meia cana 6.1/8 longo,PC,0,32.67,0.00
115,Alicate ferramenta de climpar RJ11,PC,0,0.00,0.00
116,"Alicate ferramenta diagonal 6"" cabo isolado",PC,0,10.00,0.00
117,"Alicate ferramenta prensa terminal 0,5-6MM2  LY-7",PC,0,83.76,0.00
118,"Alicate ferramenta Rede  Conector RJ 45,",PC,0,12.30,0.00
119,Alicate ferramenta RJ45/RJ11Cabo de rede,PC,0,16.03,0.00
120,ALICATE PRENSA TERMINAL TUBULAR/ILHOS  ,PC,5,160.19,800.95
121,ALICATE PRENSA TERMINAL TUBULAR/ILHOS,PC,2,215.42,430.84
122,ALICATE PRESSÃO CABO COAXIAL H-301C,PC,0,38.07,0.00
123,AMP DG96 C MED 4-20MA ALIM 220VCA,PC,0,250.80,0.00
124,AMPERIMETRO,PC,0,0.00,0.00
125,AMPERIMETRO,PC,0,0.00,0.00
126,AMPERIMETRO  72X72 400A,PC,0,38.68,0.00
127,AMPERIMETRO 72X72 800/5A,PC,2,77.19,154.38
128,AMPERIMETRO 72X72 PRL408N-90-240 P341,PC,0,253.08,0.00
129,AMPERIMETRO 96 DIGITAL DG96,PC,0,371.25,0.00
130,AMPERIMETRO 96X96 150/5A JNG,PC,0,69.48,0.00
131,AMPERIMETRO 96X96 500/5A JNG,PC,0,69.48,0.00
132,AMPERIMETRO 96x96 TC 200-400A,PC,0,64.80,0.00
133,AMPERÍMETRO AUTO BRANCO MAR -50+50A,PC,0,62.25,0.00
134,AMPERIMETRO AUTO PRETO -50+50A 300353,PC,0,65.74,0.00
135,AMPERIMETRO AUTO PRETO MAR -50+50A,PC,0,29.69,0.00
136,AMPERIMETRO BM65 30A VCC QUAD/RED,PC,0,176.25,0.00
137,"AMPERIMETRO BM65 5A VCC, REDON",PC,0,167.38,0.00
138,AMPERIMETRO BM96X96 2000A/25mV,PC,0,100.00,0.00
139,AMPERIMETRO BMR48 0-30A CC,PC,0,76.88,0.00
140,AMPERIMETRO BMRP55 0-30A CC,PC,0,76.88,0.00
141,AMPERÍMETRO DIGITAL DG48 220 5A 250/5A,PC,0,175.00,0.00
142,AMPERIMETRO DIGITAL INV-98102,PC,0,164.12,0.00
143,AMPERIMETRO DIGITAL200/5A P/ MOTOR60CV,PC,0,328.19,0.00
144,AMPERIMETRO DIGITAL72X72 200/5A,PC,0,348.00,0.00
145,AMPERÍMETRO DIGITALRLIE-017,PC,0,210.50,0.00
146,AMPERIMETRO FM72 100/200A,PC,1,77.19,77.19
147,AMPERIMETRO FM72 100/200A CANC,PC,0,109.60,0.00
148,AMPERIMETRO FM72 150/300A,PC,0,77.19,0.00
149,AMPERIMETRO FM72 200/400A,PC,2,77.19,154.38
150,AMPERIMETRO FM72 200/5A,PC,0,38.68,0.00
151,AMPERIMETRO FM72 20A DIRETA DC,PC,0,137.50,0.00
152,AMPERIMETRO FM72 250/500-5A,PC,0,51.29,0.00
153,AMPERIMETRO FM72 300/600A,PC,2,74.10,148.20
154,AMPERIMETRO FM72 300/600A,PC,0,77.19,0.00
155,AMPERIMETRO FM72 300/600A ENGRO,PC,0,64.86,0.00
156,AMPERIMETRO FM72 40/80A DIRETA,PC,2,77.19,154.38
157,AMPERIMETRO FM72 50/100A,PC,2,77.19,154.38
158,AMPERIMETRO FM72 50/100A DIRETA,PC,0,75.00,0.00
159,AMPERIMETRO FM72 50/50A,PC,0,72.00,0.00
160,AMPERIMETRO FM72 500/1000/5A,PC,0,38.68,0.00
161,AMPERIMETRO FM72 60/120A DIRETA,PC,0,60.00,0.00
162,AMPERIMETRO FM72 600/1200A,PC,2,70.35,140.70
163,AMPERIMETRO FM72 75/150/5A,PC,0,77.19,0.00
164,AMPERIMETRO FM72 75/150A DIRETA,PC,0,103.75,0.00
165,AMPERIMETRO FM96 100-200 /5A,PC,0,75.00,0.00
166,AMPERIMETRO FM96 150/300A,PC,0,55.20,0.00
167,AMPERIMETRO FM96 300/600A,PC,0,77.19,0.00
168,"AMPERÍMETRO FM96 5/10A, 300/600A",PC,0,79.14,0.00
169,AMPERIMETRO FM96 75/150A VCA,PC,0,0.00,0.00
170,AMPERIMETRO FM96 75/150A VCA,PC,0,97.50,0.00
171,AMPERIMETRO FM96 75/150A VCA 150A,PC,0,102.32,0.00
172,"AMPERÍMETRO GLI-999/5A, ALIM 220VCA",PC,1,163.60,163.60
173,"AMPERIMETRO MB55 100mA,",PC,0,163.27,0.00
174,AMPERIMETRO QN65 0-20A CA,PC,0,37.50,0.00
175,AMPERIMETRO QN65 0-40A CA,PC,0,46.94,0.00
176,AMPERIMETRO QR48A 15A,PC,0,39.90,0.00
177,AMPERIMETRO QR56 A15 15A,PC,0,39.90,0.00
178,AMPERIMETRO QR65 0-10A VCA,PC,2,38.71,77.42
179,AMPERIMETRO QR65 0-15A CA,PC,2,38.58,77.16
180,AMPERIMETRO QR65 0-30A CA,PC,0,37.50,0.00
181,AMPERIMETRO QR65 0-50A VCA,PC,2,38.56,77.12
182,AMPERIMETRO RP55 0-10A VCA,PC,2,38.58,77.16
183,"AMPERIMETRO RP55 15A, REDONDO , VAC",PC,2,38.58,77.16
184,AMPERIMETRO RP55 20A,PC,2,37.50,75.00
185,"AMPERIMETRO RP55 30A, REDONDO -VAC",PC,1,37.50,37.50
186,"AMPERIMETRO RP55 50A, RED QUAD = TO65",PC,2,37.50,75.00
187,"AMPERIMETRO RP55 50A, REDONDO - VCA",PC,0,38.58,0.00
188,AMPERÍMETRO/ VOLTÍMETRO DIGITAL,PC,0,11.92,0.00
189,Amplficador 25DB Bivolt,PC,0,25.74,0.00
190,ANEL DE REDUÇÃO 30/22,PC,0,9.78,0.00
191,ANEL DIRECIONAL 190MM,PC,0,28.20,0.00
192,ANEL DIRECIONAL 225MM,PC,0,35.42,0.00
193,ANEL DIRECIONAL 250MM,PC,0,37.10,0.00
194,"ANILHA 2,5 HG2",PC,0,0.00,0.00
195,"ANILHA 2,5 HG2 ""-""",PC,0,0.01,0.00
196,"ANILHA 2,5 HG2 ""/""",PC,0,0.01,0.00
197,"ANILHA 2,5 HG2 ""+""",PC,0,0.01,0.00
198,"ANILHA 2,5 HG2 ""0""",PC,0,0.01,0.00
199,"ANILHA 2,5 HG2 ""1""",PC,0,0.01,0.00
200,"ANILHA 2,5 HG2 ""2""",PC,0,0.01,0.00
201,"ANILHA 2,5 HG2 ""3""",PC,0,0.01,0.00
202,"ANILHA 2,5 HG2 ""4""",PC,0,0.01,0.00
203,"ANILHA 2,5 HG2 ""5""",PC,0,0.01,0.00
204,"ANILHA 2,5 HG2 ""6""",PC,0,0.01,0.00
205,"ANILHA 2,5 HG2 ""7""",PC,0,0.01,0.00
206,"ANILHA 2,5 HG2 ""8""",PC,0,0.01,0.00
207,"ANILHA 2,5 HG2 ""9""",PC,0,0.01,0.00
208,"ANILHA 2,5 HG2 ""A""",PC,0,0.01,0.00
209,"ANILHA 2,5 HG2 ""B""",PC,0,0.01,0.00
210,"ANILHA 2,5 HG2 ""C""",PC,0,0.01,0.00
211,"ANILHA 2,5 HG2 ""D""",PC,0,0.01,0.00
212,"ANILHA 2,5 HG2 ""E""",PC,0,0.01,0.00
213,"ANILHA 2,5 HG2 ""F""",PC,0,0.01,0.00
214,"ANILHA 2,5 HG2 ""G""",PC,0,0.01,0.00
215,"ANILHA 2,5 HG2 ""H""",PC,0,0.01,0.00
216,"ANILHA 2,5 HG2 ""I""",PC,0,0.01,0.00
217,"ANILHA 2,5 HG2 ""J""",PC,0,0.01,0.00
218,"ANILHA 2,5 HG2 ""K""",PC,0,0.01,0.00
219,"ANILHA 2,5 HG2 ""L""",PC,0,0.01,0.00
220,"ANILHA 2,5 HG2 ""M""",PC,0,0.01,0.00
221,"ANILHA 2,5 HG2 ""N""",PC,0,0.01,0.00
222,"ANILHA 2,5 HG2 ""O""",PC,0,0.01,0.00
223,"ANILHA 2,5 HG2 ""P""",PC,0,0.01,0.00
224,"ANILHA 2,5 HG2 ""Q""",PC,0,0.01,0.00
225,"ANILHA 2,5 HG2 ""R""",PC,0,0.01,0.00
226,"ANILHA 2,5 HG2 ""S""",PC,0,0.01,0.00
227,"ANILHA 2,5 HG2 ""T""",PC,0,0.01,0.00
228,"ANILHA 2,5 HG2 ""TERRA""",PC,0,0.01,0.00
229,"ANILHA 2,5 HG2 ""U""",PC,0,0.01,0.00
230,"ANILHA 2,5 HG2 ""V""",PC,0,0.01,0.00
231,"ANILHA 2,5 HG2 ""W""",PC,0,0.01,0.00
232,"ANILHA 2,5 HG2 ""X""",PC,0,0.01,0.00
233,"ANILHA 2,5 HG2 ""Y""",PC,0,0.01,0.00
234,"ANILHA 2,5 HG2 ""Z""",PC,0,0.01,0.00
235,"ANILHA 4MM ""0""",PC,0,0.01,0.00
236,"ANILHA 4MM ""1""",PC,0,0.01,0.00
237,"ANILHA 4MM ""2""",PC,0,0.01,0.00
238,"ANILHA 4MM ""3""",PC,0,0.01,0.00
239,"ANILHA 4MM ""4""",PC,0,0.01,0.00
240,"ANILHA 4MM ""5""",PC,0,0.01,0.00
241,"ANILHA 4MM ""6""",PC,0,0.01,0.00
242,"ANILHA 4MM ""7""",PC,0,0.01,0.00
243,"ANILHA 4MM ""8""",PC,0,0.01,0.00
244,"ANILHA 4MM ""9""",PC,0,0.01,0.00
245,"ANILHA EC-0 1,5",PC,0,0.01,0.00
246,"ANILHA EC-0 1,5 ""1""",PC,0,0.01,0.00
247,"ANILHA EC-0 1,5 ""2""",PC,0,0.01,0.00
248,"ANILHA EC-0 1,5 ""3""",PC,0,0.01,0.00
249,"ANILHA EC-0 1,5 ""4""",PC,0,0.01,0.00
250,"ANILHA EC-0 1,5 ""5""",PC,0,0.01,0.00
251,"ANILHA EC-0 1,5 ""6""",PC,0,0.01,0.00
252,"ANILHA EC-0 1,5 ""7""",PC,0,0.01,0.00
253,"ANILHA EC-0 1,5 ""8""",PC,0,0.01,0.00
254,"ANILHA EC-0 1,5 ""9""",PC,0,0.01,0.00
255,"ANILHA EC-0 1,5 ""A""",PC,0,0.01,0.00
256,"ANILHA EC-0 1,5 ""B""",PC,0,0.01,0.00
257,"ANILHA EC-0 1,5 ""C""",PC,0,0.01,0.00
258,"ANILHA EC-0 1,5 ""D""",PC,0,0.01,0.00
259,"ANILHA EC-0 1,5 ""E""",PC,0,0.01,0.00
260,"ANILHA EC-0 1,5 ""F""",PC,0,0.01,0.00
261,"ANILHA EC-0 1,5 ""G""",PC,0,0.01,0.00
262,"ANILHA EC-0 1,5 ""H""",PC,0,0.01,0.00
263,"ANILHA EC-0 1,5 ""I""",PC,0,0.01,0.00
264,"ANILHA EC-0 1,5 ""J""",PC,0,0.01,0.00
265,"ANILHA EC-0 1,5 ""K""",PC,0,0.01,0.00
266,"ANILHA EC-0 1,5 ""L""",PC,0,0.01,0.00
267,"ANILHA EC-0 1,5 ""M""",PC,0,0.01,0.00
268,"ANILHA EC-0 1,5 ""N""",PC,0,0.01,0.00
269,"ANILHA EC-0 1,5 ""O""",PC,0,0.01,0.00
270,"ANILHA EC-0 1,5 ""P""",PC,0,0.01,0.00
271,"ANILHA EC-0 1,5 ""Q""",PC,0,0.01,0.00
272,"ANILHA EC-0 1,5 ""R""",PC,0,0.01,0.00
273,"ANILHA EC-0 1,5 ""S""",PC,0,0.01,0.00
274,"ANILHA EC-0 1,5 ""T""",PC,0,0.01,0.00
275,"ANILHA EC-0 1,5 ""U""",PC,0,0.01,0.00
276,"ANILHA EC-0 1,5 ""V""",PC,0,0.01,0.00
277,"ANILHA EC-0 1,5 ""W""",PC,0,0.01,0.00
278,"ANILHA EC-0 1,5 ""X""",PC,0,0.01,0.00
279,"ANILHA EC-0 1,5 ""Y""",PC,0,0.01,0.00
280,"ANILHA EC-0 1,5 ""Z""",PC,0,0.01,0.00
281,ANILHA HG0 >1MM,PC,0,0.02,0.00
282,ANILHA HG1 >1MM,PC,0,0.02,0.00
283,ANILHA HG2 >1MM,PC,0,0.02,0.00
284,ANILHA HG3 >1MM,PC,0,0.02,0.00
285,ANILHA HG4 >1MM,PC,0,0.02,0.00
286,ANILHA HG5 >1MM,PC,0,0.02,0.00
287,ANILHA HG6 >1MM,PC,0,0.02,0.00
288,ANILHA HG7 >1MM,PC,0,0.02,0.00
289,ANILHA HG8 >1MM,PC,0,0.02,0.00
290,ANILHA HG9 >1MM,PC,0,0.02,0.00
291,Antena Cross Line 11 Elementos,PC,0,13.00,0.00
292,Antena Cross Line 15 Elementos,PC,0,66.96,0.00
293,Antena Cross Line 9 Elementos,PC,0,10.76,0.00
294,Antena interna 2003 castelo,PC,0,10.63,0.00
295,Antena Radar Parabolica,PC,0,9.64,0.00
296,Antena Radar Parabolica T-3 Simples,PC,0,9.88,0.00
297,Antena Radar Parabolica T-4 Simples,PC,0,11.56,0.00
298,Aspirador Emborrachado 0.20,PC,0,3.66,0.00
299,ATUADOR MICRO FIM CURS SEGURANÇA,PC,0,22.97,0.00
300,ATUADOR MICRO FIM CURSO EMERGEN,PC,0,25.22,0.00
301,ATUADOR MICRO FIM CURSO SEGURANÇA,PC,0,29.16,0.00
302,ATUADOR MICRO FIM CURSO SEGURANÇA,PC,2,21.18,42.36
303,Auto Transfomador  750 Ent. 110V / Saida 220V,PC,0,40.80,0.00
304,Auto Transformador  1050 W Ent. 110V/ Saida,PC,0,96.00,0.00
305,Auto Transformador 110/220V  500VA,PC,0,22.41,0.00
306,Auto Transformador 110/220V 100VA,PC,0,17.39,0.00
307,Auto Transformador 110/220V 1010VAVA,PC,0,37.98,0.00
308,Auto Transformador 110/220V 1500VA,PC,0,65.63,0.00
309,Auto Transformador 110/220V 2000VA,PC,0,74.58,0.00
310,AUTOMOVEL PASSEIO VW/GOL 1.0/ANO,PC,0,12500.00,0.00
311,AUTOTRAF TRI CH COMP 10VC 220VCA,PC,0,250.00,0.00
312,AUTOTRAF TRI CH COMP 20VC 220VCA,PC,0,318.00,0.00
313,AUTOTRAF TRI CH COMP 30VC 220VCA,PC,0,345.00,0.00
314,AUTOTRAF TRI CH COMP 40VC 220VCA,PC,1,369.00,369.00
315,Badisco disco,PC,0,16.50,0.00
316,Badisco Prima 7,PC,0,99.00,0.00
317,Badisco tecla,PC,0,33.00,0.00
318,Ballom Caneta C/Protetor,PC,0,0.61,0.00
319,Baloon separador/misturador,PC,0,1.97,0.00
320,Balum Cachibo Mini 300R/75R TV/Video K7 Pino,PC,0,0.26,0.00
321,Balum caneta C/tomadaF 75R/300R,PC,0,0.51,0.00
322,"BARRA DE COBRE 1 1/4X5/16 2,25KG/M",M,0,41.42,0.00
323,"BARRA DE COBRE 1/2X1/8"" 0,36KG/M",M,0,13.50,0.00
324,"BARRA DE COBRE 1/2X3/16"" 0,54KG/M",M,0,19.75,0.00
325,"BARRA DE COBRE 2X3/16 2,2KG/M",M,0,39.77,0.00
326,"BARRA DE COBRE 3/4X1/4"" 1,1KG/M",M,0,39.56,0.00
327,"BARRA DE COBRE 3/4X5/16"" 1,4KG/M",M,1,49.50,49.50
328,"BARRA DE COBRE 3/8X1/16"" 0,14KG/M",M,0,5.38,0.00
329,"BARRA DE COBRE 3/8X1/8"" 0,27KG/M",M,0,10.15,0.00
330,"BARRA DE COBRE 3/8X3/16"" 0,41KG/M",M,0,7.48,0.00
331,BARRA PARA LIG DE CAP 15 KVAR L420,PC,0,5.90,0.00
332,Barramento de Neutro Azul,PC,0,3.76,0.00
333,Barramento de Terra Verde,PC,0,3.76,0.00
334,"BARRAMENTO DERIVAÇÃO 80A, CENTRAL",PC,4,2.38,9.52
335,"BARRAMENTO DERIVAÇÃO 80A, LATERAL",PC,7,2.38,16.66
336,"BARRAMENTO DIN  1P 80A, 1X12P",PC,0,4.98,0.00
337,"BARRAMENTO DIN 2P, 80A, 2X6P",PC,0,11.17,0.00
338,"BARRAMENTO DIN 3P 80A, 3X4P",PC,0,13.69,0.00
339,BARRAMENTO DIN TRI 80A 3X19 PONTOS,PC,0,76.56,0.00
340,BARRAMENTO ESTRELA TRIÂNGULO P/  CWB,PC,2,67.17,134.34
341,BARRAMENTO ESTRELA TRIÂNGULO P/  CWB,PC,2,48.79,97.58
342,BARRAMENTO KIT DIN 18 DISJ 100A,PC,1,97.42,97.42
343,BARRAMENTO KIT DIN 18 DISJ 250A,PC,1,384.88,384.88
344,BARRAMENTO KIT DIN 60 DISJ 100A,PC,0,235.05,0.00
345,BARRAMENTO NEUTRO,PC,0,10.42,0.00
346,BARRAMENTO NEUTRO TERRA 8 PONTOS,PC,0,9.33,0.00
347,"BARRAMENTO NEUTRO/TERRA 1""X1/16""   14",PC,5,11.16,55.80
348,"BARRAMENTO NEUTRO/TERRA 1""X1/16""   20",PC,5,14.88,74.40
349,"BARRAMENTO NEUTRO/TERRA 1""X1/16""   30",PC,4,19.92,79.68
350,"BARRAMENTO NEUTRO/TERRA 1/2""X1/8"" 04",PC,5,5.28,26.40
351,"BARRAMENTO NEUTRO/TERRA 1/2""X1/8"" 06",PC,5,6.91,34.55
352,"BARRAMENTO NEUTRO/TERRA 1/2""X1/8"" 08",PC,4,8.34,33.36
353,"BARRAMENTO NEUTRO/TERRA 1/2""X1/8"" 12",PC,5,12.48,62.40
354,"BARRAMENTO NEUTRO/TERRA 1/2""X1/8"" 14",PC,0,12.00,0.00
355,BARRAMENTO NEUTRO/TERRA 12 PONTOS,PC,0,8.18,0.00
356,BARRAMENTO NEUTRO/TERRA 6 PONTOS,PC,0,4.89,0.00
357,BASCULANTE  A040-15IMP MACHO DIÂMETRO,PC,3,27.02,81.06
358,BASCULANTE  A040-16IMP FEMEA DIÂMETRO,PC,3,30.00,90.00
359,BASCULANTE  A050-15IMP MACHO DIÂMETRO,PC,2,32.99,65.98
360,BASCULANTE  A050-16IMP FEMEA DIÂMETRO,PC,2,42.16,84.32
361,BASCULANTE  A063-15IMP MACHO DIÂMETRO,PC,1,41.94,41.94
362,BASCULANTE  A063-16IMP FEMEA DIÂMETRO,PC,1,51.32,51.32
363,BASCULANTE  A080-15IMP MACHO DIÂMETRO,PC,1,60.61,60.61
364,BASCULANTE  A080-16IMP FEMEA DIÂMETRO,PC,1,72.16,72.16
365,BASCULANTE A032-15IMP MACHO DIÂMETRO,PC,5,24.06,120.30
366,BASCULANTE A032-16IMP FEMEA DIÂMETRO,PC,5,27.26,136.30
367,BASE,PC,0,9.97,0.00
368,BASE  MSO4T,PC,0,9.83,0.00
369,BASE  PRT3 12 POLOS,PC,0,30.19,0.00
370,BASE  PRT5,PC,40,13.19,527.60
371,BASE  PRT7-1,PC,0,9.75,0.00
372,BASE  SBM2T,PC,0,5.08,0.00
373,BASE 11 PINOS TRILHO,PC,50,17.06,853.00
374,BASE 8 PINOS TRILHO,PC,50,10.58,529.00
375,"BASE 90200SMA PT 60, 8 PINOS",PC,10,10.78,107.80
